"CTYNAME","pop2021","GrowthRate","popDensity"
"King County","2301620","18.7412","1353.5612"
"Pierce County","927428","16.6004","545.4117"
"Snohomish County","840131","17.4187","494.0732"
"Spokane County","541188","14.6388","318.2676"
"Clark County","501869","17.6153","295.1445"
"Thurston County","299496","18.3774","176.1308"
"Kitsap County","275867","9.6098","162.2348"
"Yakima County","251495","2.9637","147.9019"
"Whatcom County","237347","17.7638","139.5815"
"Benton County","210598","19.3426","123.8507"
"Skagit County","131945","12.8275","77.5956"
"Cowlitz County","114275","11.6425","67.2041"
"Grant County","99855","11.4976","58.7238"
"Franklin County","97660","23.4999","57.4329"
"Island County","86969","10.5168","51.1457"
"Lewis County","82983","9.9083","48.8015"
"Clallam County","78891","10.3324","46.3951"
"Chelan County","78096","7.3485","45.9275"
"Grays Harbor County","77581","6.4971","45.6247"
"Mason County","69544","14.5078","40.8982"
"Walla Walla County","61050","3.6239","35.9029"
"Whitman County","50946","13.7289","29.9609"
"Kittitas County","49089","19.7585","28.8688"
"Stevens County","46721","7.4738","27.4762"
"Douglas County","44789","16.2928","26.3400"
"Okanogan County","42495","3.0707","24.9909"
"Jefferson County","33171","10.9435","19.5076"
"Pacific County","23265","11.4278","13.6819"
"Klickitat County","23003","12.8926","13.5278"
"Asotin County","22514","3.6318","13.2403"
"Adams County","20477","8.9782","12.0423"
"San Juan County","18498","17.2021","10.8785"
"Pend Oreille County","14000","8.1081","8.2333"
"Skamania County","12411","11.6499","7.2988"
"Lincoln County","11365","7.4908","6.6837"
"Ferry County","7605","0.7952","4.4724"
"Wahkiakum County","4634","16.3445","2.7252"
"Columbia County","3877","-5.3004","2.2800"
"Garfield County","2195","-2.9191","1.2909"